0: WIN_20220324_10_43_09_Pro
PBA: 7.616 -> 7.615 (15 LMs in 0.11sec)
#points w/ large errors:	93
#unstable points removed:	3

#############################
#50: [WIN..5_Pro] sees 510 (+96) 3D points
Estimated Focal Length [432][0.68W]
# 30593 projs (6595 pts and 273 merges)
SKIP: 0 cams, 12483 points, 16966 projs
PBA: 9827 3D pts, 20 cams and 40661 projs...
PBA: 10.493 -> 10.399 (5 LMs in 0.06sec)
#points w/ large errors:	3461
Focal Length : [432.324]->[432.324]
Radial Distortion : [-0.363 -> -64]
END: No more images to add [0 projs]

#############################
Failed to find two images for initialization
Resuming SfM finished, 13 sec used

---------------------------------------------------
50 cams, 22364 pts (3+: 4056)
57408 projections (3+: 16712)
---------------------------------------------------
1 model(s) reconstructed from 50 images;
50 modeled; 0 reused; 0 EXIF; 
6MB(6) used to store feature location.
---------------------------------------------------

########-------timing------#########
Structure-From-Motion finished, 13 sec used
10.4(8.9) seconds on Bundle Adjustment (+)
9.4(8.3) seconds on Bundle Adjustment (*)
#############################
----------------------------------------------------------------
Run full 3D reconstruction, finished
Totally 13.000 seconds used


Export Data for CMVS/PMVS or CMP-MVS, begin...
Save to 2.nvm ... done

#############################
Undistorting 50 images in model #0
param_undistortion_thread_num = 0
NOTE: using 16 threads...
#00: WIN..6_Pro -> 00000000.jpg, 0.061 sec
#02: WIN..5_Pro -> 00000003.jpg, 0.063 sec
#13: WIN..1_Pro -> 00000013.jpg, 0.064 sec
#01: WIN..9_Pro -> 00000002.jpg, 0.065 sec
#14: WIN..o (2) -> 00000019.jpg, 0.065 sec
#03: WIN..9_Pro -> 00000004.jpg, 0.066 sec
#07: WIN..0_Pro -> 00000008.jpg, 0.066 sec
#10: WIN..5_Pro -> 00000009.jpg, 0.067 sec
#12: WIN..4_Pro -> 00000011.jpg, 0.068 sec
#15: WIN..4_Pro -> 00000020.jpg, 0.068 sec
#11: WIN..6_Pro -> 00000024.jpg, 0.069 sec
#04: WIN..2_Pro -> 00000006.jpg, 0.069 sec
#08: WIN..6_Pro -> 00000016.jpg, 0.070 sec
#06: WIN..8_Pro -> 00000015.jpg, 0.071 sec
#05: WIN..6_Pro -> 00000022.jpg, 0.071 sec
#09: WIN..7_Pro -> 00000018.jpg, 0.072 sec
#00: WIN..8_Pro -> 00000001.jpg, 0.006 sec
#02: WIN..4_Pro -> 00000025.jpg, 0.049 sec
#13: WIN..2_Pro -> 00000014.jpg, 0.049 sec
#01: WIN..0_Pro -> 00000027.jpg, 0.052 sec
#14: WIN..9_Pro -> 00000029.jpg, 0.051 sec
#03: WIN..1_Pro -> 00000005.jpg, 0.052 sec
#07: WIN..o (2) -> 00000031.jpg, 0.054 sec
#10: WIN..o (2) -> 00000010.jpg, 0.058 sec
#12: WIN..0_Pro -> 00000012.jpg, 0.056 sec
#15: WIN..2_Pro -> 00000021.jpg, 0.059 sec
#11: WIN..2_Pro -> 00000033.jpg, 0.058 sec
#04: WIN..3_Pro -> 00000007.jpg, 0.057 sec
#08: WIN..7_Pro -> 00000017.jpg, 0.059 sec
#06: WIN..1_Pro -> 00000035.jpg, 0.059 sec
#05: WIN..o (2) -> 00000023.jpg, 0.055 sec
#09: WIN..8_Pro -> 00000037.jpg, 0.056 sec
#00: WIN..7_Pro -> 00000039.jpg, 0.053 sec
#02: WIN..1_Pro -> 00000026.jpg, 0.054 sec
#13: WIN..5_Pro -> 00000041.jpg, 0.058 sec
#01: WIN..0_Pro -> 00000028.jpg, 0.055 sec
#14: WIN..3_Pro -> 00000030.jpg, 0.055 sec
#03: WIN..9_Pro -> 00000043.jpg, 0.051 sec
#07: WIN..9_Pro -> 00000032.jpg, 0.055 sec
#10: WIN..3_Pro -> 00000045.jpg, 0.049 sec
#12: WIN..8_Pro -> 00000047.jpg, 0.054 sec
#15: WIN..5_Pro -> 00000049.jpg, 0.054 sec
#11: WIN..7_Pro -> 00000034.jpg, 0.052 sec
#06: WIN..7_Pro -> 00000036.jpg, 0.052 sec
#09: WIN..4_Pro -> 00000038.jpg, 0.047 sec
#00: WIN..2_Pro -> 00000040.jpg, 0.045 sec
#13: WIN..8_Pro -> 00000042.jpg, 0.046 sec
#03: WIN..5_Pro -> 00000044.jpg, 0.046 sec
#10: WIN..1_Pro -> 00000046.jpg, 0.045 sec
#12: WIN..1_Pro -> 00000048.jpg, 0.049 sec
----------------------------------------------------------------
Running Yasutaka Furukawa's CMVS tool...
cmvs C:\Users\86186\Desktop\VisualSFM_windows_cuda_64bit\test\2.nvm.cmvs\00\ 50 16
genOption C:\Users\86186\Desktop\VisualSFM_windows_cuda_64bit\test\2.nvm.cmvs\00\ 1 2 0.700000 7 3 16
PMVS Batch file generated.
----------------------------------------------------------------
Export Data for CMVS/PMVS or CMP-MVS, finished
Totally 3.000 seconds used

